Empresa,Producto/Novedad,Tipo de Maquinaria,Descripción / Características Clave,Fuente / Referencia Snippet,Notas Adicionales
Loyto,Moledora circular L360,Otro Implemento,"Zaranda ocupa toda la circunferencia del molino (descarga 360°). Moliendas extremadamente finas (harinas). Mayor rinde/hora, menor temperatura por fricción, descarga con ciclón para control de polvo.",,Lanzamiento en AgroActiva 2025. Stand 156C.
Mainero,Cabezal Girasolero 1045,Implemento Forrajero,"Versiones 24 y 26 hileras a 52.5 cm. Mando central barra de corte y acarreador. Bandejas y escudo de acero inoxidable, plegables.",,Lanzamiento en AgroActiva 2025. Stand 276A.
Mainero,"Mixers Horizontales 2913, 2922, 2933",Implemento Forrajero,"Modelo 2913 (8.500L), 2923 (10.000L), 2933 (12.000L). Serie 3, reducción principal frontal, mandos sinfines superiores traseros, puesto inspección delantero.",,Lanzamiento en AgroActiva 2025. Stand 276A.
Mainero,Enfardadora 5740,Implemento Forrajero,"Atador de hilo, sistema de alimentación central. Rendimiento aprox. 500 fardos/hora.",,Lanzamiento en AgroActiva 2025. Stand 276A.
Mainero,Rotoenfardadora 5834 Ultra Cut,Implemento Forrajero,Amplía familia con cutter. Recolector con 25 cuchillas.,,Lanzamiento en AgroActiva 2025. Stand 276A.
Massey Ferguson,Tractores Serie MF 8S / Tractor MF 8S,Tractor,"Cuatro versiones (205 HP a 265 HP). Diseño renovado, mayor confort, dos opciones de transmisión (Dyna-E-Power). Motor AGCO Power 7.4L. Diseño Protect-U. Lanzamiento MF 8S el 4 de junio.",,Presentado en AgroActiva 2025.
Massey Ferguson,Enfardadora MF 1840,Implemento Forrajero,"Fardos pequeños rectangulares, carga central.",,Lanzamiento en AgroActiva 2025.
Montecor,Tolvas TFS18/TFS22 con tecnología de control,Otro Implemento / Solución Digital,"Control total de cosecha desde celular en tiempo real: geoposicionamiento, seguimiento de kilos, imágenes HD nocturnas, trazabilidad por lote, calibración remota, alarmas.",,Presentado en AgroActiva 2025. Stand 254E.
New Holland,Cosechadora CR 8.90 IntelliSense,Cosechadora,"Tecnología Twin Rotor (50º aniversario), sistema de inteligencia artificial que aprende y se adapta para optimizar rendimiento y minimizar pérdidas, grano más limpio, menor intervención del operador.",,Presentado en AgroActiva 2025.
New Holland,Tractor T8 PLM Intelligence,Tractor,Tecnología de agricultura de precisión integrada (PLM Intelligence).,,Fabricación Nacional. Presentado en AgroActiva 2025.
New Holland,Nuevo Tractor TL5 con pala,Tractor,"Versátil, ideal para tareas mixtas en explotaciones medianas y pequeñas.",,Presentado en AgroActiva 2025.
New Holland,Pulverizadora SP 3000,Pulverizadora,,,Fabricación Nacional. Presentado en AgroActiva 2025.
New Holland,Rotoenfardadora RB 460,Implemento Forrajero,"Rotoenfardadora diseñada para ofrecer calidad, velocidad y eficiencia en el manejo de pasturas.",,Presentado en AgroActiva 2025.
New Holland,Segadora SR 200,Implemento Forrajero,"Segadora diseñada para ofrecer calidad, velocidad y eficiencia en el manejo de pasturas.",,Presentado en AgroActiva 2025.
New Holland,Pantallas CR7+ y CR12+,Solución Digital/Agricultura de Precisión,Nuevos displays centrales para la oferta digital.,,Presentado en AgroActiva 2025.
New Holland,Receptor 500S,Solución Digital/Agricultura de Precisión,Nuevo receptor para agricultura de precisión.,,Presentado en AgroActiva 2025.
New Holland,"Plataformas FieldOps, FarmXtend, FieldXplorer",Solución Digital/Agricultura de Precisión,"Para planificación, monitoreo y toma de decisiones precisas basadas en datos.",,Presentado en AgroActiva 2025.
New Holland,New Holland Application Drone,Dron Agrícola,"Dron pulverizador, alternativa para terrenos difíciles o escalas más reducidas, flexibilidad para pequeños y medianos productores.",,Debut en AgroActiva 2025.
Ombú,Pulverizadora autopropulsada PAO 3500,Pulverizadora,Nueva tecnología digital para mayor precisión y eficiencia operativa.,,Presentada en AgroActiva 2025. Stand 164B.
Ombú,Volcador BATEA 50m³,Otro Implemento,"Nuevo diseño semi-cónico para facilitar transporte y descarga, minimiza resistencia.",,Presentado en AgroActiva 2025. Stand 164B.
Ombú,Embolsadora de granos secos EGSO 550,Implemento Forrajero,"Nueva tolva, malacate hidráulico, frenos a disco.",,Presentada en AgroActiva 2025. Stand 164B.
Ombú,Cabezal universal (nueva versión),Implemento Forrajero,"Recolección más precisa en cualquier dirección y distancia, reduce pérdidas.",,Presentada en AgroActiva 2025. Stand 164B.
Ombú,Rastra acondicionadora RAO,Implemento de Labranza,"Para manejo mecánico de malezas, protege rastrojos, optimiza implantación.",,Presentada en AgroActiva 2025. Stand 164B.
Ombú,Desmalezadora DHO 3200,Implemento de Labranza,Optimizada con sistema cardánico para transmisión eficiente y corte preciso.,,Presentada en AgroActiva 2025. Stand 164B.
Ombú,Fertilizadora Autopropulsada Neumática FN 4200,Fertilizadora,,,Presentada en AgroActiva 2025.
Pierobón,Sembradoras Turbosem II (versiones 26/56 y 26/48),Sembradora,"Nuevas versiones para distanciamiento a 26 cm. 26/56: 56 líneas a 26 cm (ancho labor 14,70m). 26/48: 48 líneas a 26 cm (ancho labor 12,48m). Cuerpos de siembra DINSI, barra delantera desplazable hidráulicamente.",,"Novedad 2025, difundida en AgroActiva."
Pierobón,Sembradoras MD y Multimix,Sembradora,Versiones renovadas. Tecnología para implantación precisa y dosis variable.,,Presentadas en AgroActiva 2025.
Plantium,Sembradora eléctrica Velosofía Air,Sembradora,"La con más tecnología del mercado. Siembra de alta velocidad (cerca de 20 km/h) con precisión extrema. Dosificador totalmente autónomo, corte variable por surcos (EcuRow), control de carga vertical (ActiveForce), 99% singulación.",,"Fabricación Nacional (Santa Fe). Presentada en Expoagro 2025, relevante para anuncios recientes."
Plantium,ocuWeed,Solución Digital/Agricultura de Precisión,Aplicación selectiva con tecnología intuitiva. Ahorro del 80% de insumos vs. pulverizador convencional.,,"Presentado en Expoagro 2025, relevante para anuncios recientes."
RICHIGER,Últimas innovaciones,Implemento Forrajero,Exhibición de sus más recientes desarrollos.,,AgroActiva 2025.
RICHIGER,Carro Forrajero CF500D,Implemento Forrajero,"Capacidad 50.000 litros, chasis de tres ejes independientes (central fijo, extremos autodireccionales), descarga por cadenas, caja abulonada de chapa galvanizada.",,"Presentado en Expoagro 2025, relevante para anuncios recientes."
RICHIGER,Acoplado de 40m3,Implemento Forrajero,"Descarga en 1 minuto, para transporte de forraje, cadenas accionadas hidráulicamente, neumáticos de alta flotación.",,Anuncio reciente.
Super Walter (Búfalo SA),"Sembradora ""transformer"" W660 Pentaflec",Sembradora,"Pasa de posición de transporte a trabajo en 5 minutos. Cinco módulos articulados, 12 ruedas, mejor adaptación y copiado del terreno. Ancho de transporte menor.",,"Presentada en Expoagro, relevante para anuncios recientes."
TBeH,Sistema ITRACK,Solución Digital/Agricultura de Precisión,"Monitoreo remoto 24/7, alertas preventivas para manipuladores telescópicos.",,Lanzamiento en AgroActiva 2025 (anuncio 2 de junio). Stand 136C.
TBeH,Sistema Cleanfix,Solución Digital/Agricultura de Precisión,"Variación ángulo hélice radiador para limpieza automática/manual, previene sobrecalentamiento en manipuladores telescópicos.",,Lanzamiento en AgroActiva 2025 (anuncio 2 de junio). Stand 136C.
Tedeschi,Novedades en sembradoras,Sembradora,"Innovaciones técnicas y comerciales. Concepto ""potencia Tedeschi"". Opciones de giro autotrailer. Articulación patentada para mayor ancho de trabajo. Modelos para pasturas, grano fino y grueso, de uno, dos módulos y autotrailer.",,Presentado en AgroActiva 2025 (anuncio 2 de junio). Stand 142E / 244E.
TT Implementos Agrícolas,Rombos colonizadores Algeris,Implemento de Labranza,Nueva línea de la empresa uruguaya Algeris.,,Lanzamiento en AgroActiva 2025. Stand 292F.
TT Implementos Agrícolas,Rastras de discos excéntricas (Brasil),Implemento de Labranza,Nueva línea importada de Brasil.,,Presentado en AgroActiva 2025. Stand 292F.
TT Implementos Agrícolas,Rastra desencontrada RDL 7580,Implemento de Labranza,"Producción propia, para tractores de Baja y Media Potencia. Tubo 100x140mm, espesor 8mm, peso por disco 70-80kg.",,Presentada en AgroActiva 2025. Stand 292F.
TT Implementos Agrícolas,Paratill PBA,Incorporadora / Subsolador / Implemento de Labranza,"Producción propia, para mejorar suelos degradados. Roturación hasta 20cm profundidad.",,Presentada en AgroActiva 2025. Stand 292F.
Valley Argentina,Exhibición de pivote central y planta fotovoltaica,Otro Implemento / Solución Energética,"Soluciones de riego combinando durabilidad, rentabilidad y eficiencia; enfoque en sostenibilidad.",,Exhibición en AgroActiva 2025 (anuncio 2 de junio).
Valtra,Tractores Serie Q,Tractor,Origen Finlandia.,,Presentado en AgroActiva 2025 (anuncio 2 de junio).
Valtra,"Tractores líneas BM, BH Hi Tech, A3F Frutera, A Gen 4, A4 HiTech, A G2",Tractor,Líneas renovadas y modelos específicos para diversas necesidades.,,Presentado en AgroActiva 2025 (anuncio 2 de junio).
Valtra,Pulverizadoras Serie R con barras de carbono,Pulverizadora,"Barras de hasta 40 metros, mayor cobertura, reducción de peso.",,Presentado en AgroActiva 2025 (anuncio 2 de junio).
Valtra,Plataforma PTx Trimble,Solución Digital/Agricultura de Precisión,Plataforma integral de agricultura de precisión para conectar todas las etapas del ciclo productivo.,,Presentado en AgroActiva 2025 (anuncio 2 de junio).
Agromec,Rastra Súper 90 con siembra y fertilización,Implemento de Labranza,Incorpora tolva plástica (El Torito) para siembra y fertilización en una pasada.,,"Prototipo, presentación comercial en AgroActiva 2025. Stand 150E."
Abelardo Cuffia,"Soluciones en siembra, pulverización, fertilización y telemetría",Solución Digital/Agricultura de Precisión,"Control Dosificadores Eléctricos Agrotax, Corte Automático Sembradoras, Monitor Siembra Fusion Pro, Control Hidráulico Fertilizadoras FGS Black, Plataforma Integral FGS Black, Aplicación Selectiva SaveFarm y Ecorobotix (IA).",,Lanzamientos y sorpresas en AgroActiva 2025. Sponsor del evento.
