Empresa,Producto/Novedad,Tipo de Maquinaria,Descripción / Características Clave,Fuente / Referencia Snippet,Notas Adicionales
Ombú,Embolsadora de granos secos EGSO 550,Implemento Forrajero,"Nueva tolva, malacate hidráulico, frenos a disco.",38,Presentada en AgroActiva 2025. Stand 164B.
Ombú,Cabezal universal (nueva versión),Implemento Forrajero,"Recolección más precisa en cualquier dirección y distancia, reduce pérdidas.",38,Presentada en AgroActiva 2025. Stand 164B.
Ombú,Rastra acondicionadora RAO,Implemento de Labranza,"Para manejo mecánico de malezas, protege rastrojos, optimiza implantación.",38,Presentada en AgroActiva 2025. Stand 164B.
Ombú,Desmalezadora DHO 3200,Implemento de Labranza,Optimizada con sistema cardánico para transmisión eficiente y corte preciso.,38,Presentada en AgroActiva 2025. Stand 164B.
Ombú,Volcador 50.000L,Otro Implemento,"Nuevo diseño semi-cónico para facilitar transporte y descarga, minimiza resistencia.",38,Presentado en AgroActiva 2025. Stand 164B.
Pierobón,Turbosem II (versiones 26/56 y 26/48),Sembradora,"Nuevas versiones para distanciamiento a 26 cm. 26/56: 56 líneas a 26 cm (ancho labor 14,70m). 26/48: 48 líneas a 26 cm (ancho labor 12,48m). Cuerpos de siembra DINSI, barra delantera desplazable hidráulicamente.",26,"Novedad 2025, difundida en AgroActiva."
Pierobón,Sembradoras MD y Multimix,Sembradora,Versiones renovadas. Tecnología para implantación precisa y dosis variable.,7,Presentadas en AgroActiva 2025.
Plantium,Sembradora eléctrica Velosofía Air,Sembradora,"""La con más tecnología del mercado"". Siembra de alta velocidad (cerca de 20 km/h) con precisión extrema. Dosificador totalmente autónomo, corte variable por surcos (EcuRow), control de carga vertical (ActiveForce), 99% singulación.",24,"Fabricación Nacional (Santa Fe). Presentada en Expoagro 2025, relevante para anuncios recientes."
Plantium,ocuWeed,Solución Digital/Agricultura de Precisión,Aplicación selectiva con tecnología intuitiva. Ahorro del 80% de insumos vs. pulverizador convencional.,24,"Presentado en Expoagro 2025, relevante para anuncios recientes."
RICHIGER,Últimas innovaciones,Implemento Forrajero,Exhibición de sus más recientes desarrollos.,2,AgroActiva 2025
RICHIGER,Carro Forrajero CF500D,Implemento Forrajero,"Capacidad 50.000 litros, chasis de tres ejes independientes (central fijo, extremos autodireccionales), descarga por cadenas, caja abulonada de chapa galvanizada.",15,"Presentado en Expoagro 2025, relevante para anuncios recientes."
RICHIGER,Acoplado de 40m3,Implemento Forrajero,"Descarga en 1 minuto, para transporte de forraje, cadenas accionadas hidráulicamente, neumáticos de alta flotación.",16,Anuncio reciente.
Super Walter,"Sembradora ""transformer"" W660 Pentaflec",Sembradora,"Pasa de posición de transporte a trabajo en 5 minutos. Cinco módulos articulados, 12 ruedas, mejor adaptación y copiado del terreno. Ancho de transporte menor.",23,"Presentada en Expoagro, relevante para anuncios recientes."
Syra,Fertilizadora incorporadora ROW 6000,Fertilizadora / Incorporadora,,,Debut en AgroActiva 2025
TBeH,Sistemas ITRACK y CLEANFIX,Solución Digital/Agricultura de Precisión,"ITRACK: monitoreo remoto 24/7, alertas preventivas. CLEANFIX: variación ángulo hélice radiador para limpieza automática/manual, previene sobrecalentamiento. Para manipulador telescópico.",55,Lanzamiento en AgroActiva 2025. Stand 136C.
Tedeschi,Novedades en sembradoras,Sembradora,"Innovaciones técnicas y comerciales. Concepto ""potencia Tedeschi"". Opciones de giro autotrail. Articulación patentada para mayor ancho de trabajo. Modelos para pasturas, grano fino y grueso, de uno, dos módulos y autotrailer.",28,Presentado en AgroActiva 2025. Stand 142E / 244E.
TT Implementos Agrícolas,Rombos colonizadores Algeris,Implemento de Labranza,Nueva línea de la empresa uruguaya Algeris.,47,Lanzamiento en AgroActiva 2025. Stand 292F.
TT Implementos Agrícolas,Rastras de discos excéntricas (Brasil),Implemento de Labranza,Nueva línea importada de Brasil.,47,Presentado en AgroActiva 2025. Stand 292F.
TT Implementos Agrícolas,Rastra desencontrada RDL 7580,Implemento de Labranza,"Producción propia, para tractores de Baja y Media Potencia. Tubo 100x140mm, espesor 8mm, peso por disco 70-80kg.",47,Presentada en AgroActiva 2025. Stand 292F.
TT Implementos Agrícolas,Paratill PBA,Incorporadora / Subsolador / Implemento de Labranza,"Producción propia, para mejorar suelos degradados. Roturación hasta 20cm profundidad.",47,Presentada en AgroActiva 2025. Stand 292F.
